iter	MultiClass
0	3.381496532
1	3.160387279
2	3.008488169
3	2.893589765
4	2.799141027
5	2.714242065
6	2.654342834
7	2.602006945
8	2.550365966
9	2.511755034
10	2.477443277
11	2.446626542
12	2.415561759
13	2.388672472
14	2.365379104
15	2.343255012
16	2.323173472
17	2.301372328
18	2.281981247
19	2.267377833
20	2.251883072
21	2.238792576
22	2.225405167
23	2.21510651
24	2.202965594
25	2.19012401
26	2.179234995
27	2.169011446
28	2.161846856
29	2.151482729
30	2.141617467
31	2.135081542
32	2.126081996
33	2.118044013
34	2.10976106
35	2.101495995
36	2.095600503
37	2.090309845
38	2.084152003
39	2.07589644
40	2.07149829
41	2.066023405
42	2.061251539
43	2.053659175
44	2.046242426
45	2.039269049
46	2.031073514
47	2.023620034
48	2.018485242
49	2.01028219
50	2.004643963
51	1.998818387
52	1.992741192
53	1.987341909
54	1.983927352
55	1.97910397
56	1.975858094
57	1.97316643
58	1.969579237
59	1.965941446
60	1.959047881
61	1.955115234
62	1.949555372
63	1.941233388
64	1.93447071
65	1.928729927
66	1.924005757
67	1.91786797
68	1.914916304
69	1.912320522
70	1.909776351
71	1.903619591
72	1.899502788
73	1.895312903
74	1.891397009
75	1.888306866
76	1.883650984
77	1.874470517
78	1.870959402
79	1.867708567
80	1.864267232
81	1.860657623
82	1.856310394
83	1.853213572
84	1.849525351
85	1.844921305
86	1.840586039
87	1.836534528
88	1.830803522
89	1.826687293
90	1.821059305
91	1.818886895
92	1.815975219
93	1.812762884
94	1.808871333
95	1.805135312
96	1.798562856
97	1.795973564
98	1.790351161
99	1.787527476
100	1.784892301
101	1.781524884
102	1.776505616
103	1.771772217
104	1.768418753
105	1.764442859
106	1.759658128
107	1.755488358
108	1.750563183
109	1.748164086
110	1.744031102
111	1.739485384
112	1.735636809
113	1.73290932
114	1.729206079
115	1.728310748
116	1.723695795
117	1.718654661
118	1.715061561
119	1.712863136
120	1.711414459
