iter	Passed	Remaining
0	2637	2635145
1	6260	3124103
2	9349	3107000
3	12676	3156514
4	15441	3072923
5	18673	3093547
6	21889	3105176
7	25504	3162580
8	28475	3135516
9	32090	3176971
10	35677	3207754
11	39329	3238138
12	42667	3239461
13	46096	3246532
14	49343	3240218
15	52970	3257705
16	56816	3285331
17	59664	3255033
18	63376	3272220
19	67209	3293266
20	70043	3265349
21	73313	3259110
22	77138	3276695
23	80195	3261288
24	83868	3270875
25	86575	3243267
26	89890	3239379
27	93364	3241087
28	96660	3236451
29	100657	3254606
30	104300	3260244
31	107953	3265581
32	111388	3264024
33	115265	3274899
34	118552	3268668
35	122113	3269927
36	125513	3266740
37	129140	3269300
38	132296	3259916
39	135699	3256781
40	139802	3270011
41	143444	3271893
42	147435	3281302
43	150876	3278143
44	154147	3271354
45	157782	3272274
46	161318	3270992
47	164327	3259161
48	167956	3259727
49	172121	3270306
50	175521	3266084
51	179222	3267369
52	182503	3260965
53	185614	3251690
54	189298	3252485
55	193398	3260153
56	197057	3260089
57	200310	3253322
58	203956	3252932
59	207303	3247758
60	211209	3251248
61	214789	3249561
62	218339	3247359
63	222148	3248920
64	225579	3244878
65	228588	3234868
66	232122	3232398
67	235286	3224814
68	238678	3220426
69	241947	3214441
70	245331	3210035
71	249125	3210954
72	252779	3209952
73	256693	3212135
74	259541	3201009
75	262115	3186767
76	265849	3186740
77	268716	3176371
78	272434	3176098
79	276150	3175730
80	279963	3176374
81	283704	3176105
82	287678	3178322
83	291389	3177537
84	294721	3172590
85	298734	3174919
86	302294	3172350
87	305896	3170197
88	308942	3162318
89	312661	3161357
90	316481	3161339
91	319488	3153209
92	323406	3154081
93	326942	3151165
94	330248	3146050
95	333791	3143206
96	337210	3139183
97	340678	3135628
98	344361	3134041
99	347621	3128594
100	351289	3126820
101	354584	3121735
102	357709	3115200
103	361456	3114084
104	364109	3103598
105	367936	3103160
106	371185	3097836
107	374974	3097010
108	378447	3093549
109	382457	3094431
110	385546	3087844
111	389074	3084804
112	392758	3082978
113	396034	3077954
114	399470	3074183
115	402844	3069951
116	406369	3066870
117	409655	3061999
118	412873	3056651
119	416641	3055368
120	420336	3053520
